  3853 =     1.7.2.2.0.1
  3863 =     1.7.2.3.2.1
  3877 =     1.7.3.1.0.1
  3881 =     1.7.3.1.2.1
  3889 =     1.7.3.3.0.1
  3907 =     1.7.4.1.0.1
  3911 =     1.7.4.1.2.1
  3917 =     1.7.4.2.2.1
  3919 =     1.7.4.3.0.1
  3923 =     1.7.4.3.2.1
  3929 =     1.7.4.4.2.1
  3931 =     1.7.5.0.0.1
  3943 =     1.7.5.2.0.1
  3947 =     1.7.5.2.2.1
  3967 =     1.7.6.1.0.1
  3989 =     1.7.6.4.2.1
  4001 =     1.8.0.1.2.1
  4003 =     1.8.0.2.0.1
  4007 =     1.8.0.2.2.1
  4013 =     1.8.0.3.2.1
  4019 =     1.8.0.4.2.1
  4021 =     1.8.1.0.0.1
  4027 =     1.8.1.1.0.1
  4049 =     1.8.1.4.2.1
  4051 =     1.8.2.0.0.1
  4057 =     1.8.2.1.0.1
  4073 =     1.8.2.3.2.1
  4079 =     1.8.2.4.2.1
  4091 =     1.8.3.1.2.1
  4093 =     1.8.3.2.0.1
  4099 =     1.8.3.3.0.1
  4111 =     1.8.4.0.0.1
  4127 =     1.8.4.2.2.1
  4129 =     1.8.4.3.0.1
  4133 =     1.8.4.3.2.1
  4139 =     1.8.4.4.2.1
  4153 =     1.8.5.2.0.1
  4157 =     1.8.5.2.2.1
  4159 =     1.8.5.3.0.1
  4177 =     1.8.6.1.0.1
  4201 =     1.9.0.0.0.1
  4211 =     1.9.0.1.2.1
  4217 =     1.9.0.2.2.1
  4219 =     1.9.0.3.0.1
  4229 =     1.9.0.4.2.1
  4231 =     1.9.1.0.0.1
  4241 =     1.9.1.1.2.1
  4243 =     1.9.1.2.0.1
  4253 =     1.9.1.3.2.1
  4259 =     1.9.1.4.2.1
  4261 =     1.9.2.0.0.1
  4271 =     1.9.2.1.2.1
  4273 =     1.9.2.2.0.1
  4283 =     1.9.2.3.2.1
  4289 =     1.9.2.4.2.1
  4297 =     1.9.3.1.0.1
  4327 =     1.9.4.1.0.1
  4337 =     1.9.4.2.2.1
  4339 =     1.9.4.3.0.1
  4349 =     1.9.4.4.2.1
  4357 =     1.9.5.1.0.1
  4363 =     1.9.5.2.0.1
  4373 =     1.9.5.3.2.1
  4391 =     1.9.6.1.2.1
  4397 =     1.9.6.2.2.1
  4409 =     1.9.6.4.2.1
  4421 =    1.10.0.1.2.1
  4423 =    1.10.0.2.0.1
  4441 =    1.10.1.0.0.1
  4447 =    1.10.1.1.0.1
  4451 =    1.10.1.1.2.1
  4457 =    1.10.1.2.2.1
  4463 =    1.10.1.3.2.1
  4481 =    1.10.2.1.2.1
  4483 =    1.10.2.2.0.1
  4493 =    1.10.2.3.2.1
  4507 =    1.10.3.1.0.1
  4513 =    1.10.3.2.0.1
  4517 =    1.10.3.2.2.1
  4519 =    1.10.3.3.0.1
  4523 =    1.10.3.3.2.1
  4547 =    1.10.4.2.2.1
  4549 =    1.10.4.3.0.1
  4561 =    1.10.5.0.0.1
  4567 =    1.10.5.1.0.1
  4583 =    1.10.5.3.2.1
  4591 =    1.10.6.0.0.1
  4597 =    1.10.6.1.0.1
  4603 =    1.10.6.2.0.1
  4621 =     2.0.0.0.0.1
  4637 =     2.0.0.2.2.1
  4639 =     2.0.0.3.0.1
  4643 =     2.0.0.3.2.1
  4649 =     2.0.0.4.2.1
  4651 =     2.0.1.0.0.1
  4657 =     2.0.1.1.0.1
  4663 =     2.0.1.2.0.1
  4673 =     2.0.1.3.2.1
  4679 =     2.0.1.4.2.1
  4691 =     2.0.2.1.2.1
  4703 =     2.0.2.3.2.1
  4721 =     2.0.3.1.2.1
  4723 =     2.0.3.2.0.1
  4729 =     2.0.3.3.0.1
  4733 =     2.0.3.3.2.1
  4751 =     2.0.4.1.2.1
  4759 =     2.0.4.3.0.1
  4783 =     2.0.5.2.0.1
  4787 =     2.0.5.2.2.1
  4789 =     2.0.5.3.0.1
  4793 =     2.0.5.3.2.1
  4799 =     2.0.5.4.2.1
  4801 =     2.0.6.0.0.1
  4813 =     2.0.6.2.0.1
  4817 =     2.0.6.2.2.1
  4831 =     2.1.0.0.0.1
  4861 =     2.1.1.0.0.1
  4871 =     2.1.1.1.2.1
  4877 =     2.1.1.2.2.1
  4889 =     2.1.1.4.2.1
  4903 =     2.1.2.2.0.1
  4909 =     2.1.2.3.0.1
  4919 =     2.1.2.4.2.1
  4931 =     2.1.3.1.2.1
  4933 =     2.1.3.2.0.1
  4937 =     2.1.3.2.2.1
  4943 =     2.1.3.3.2.1
  4951 =     2.1.4.0.0.1
  4957 =     2.1.4.1.0.1
  4967 =     2.1.4.2.2.1
  4969 =     2.1.4.3.0.1
  4973 =     2.1.4.3.2.1
  4987 =     2.1.5.1.0.1
  4993 =     2.1.5.2.0.1
  4999 =     2.1.5.3.0.1
  5003 =     2.1.5.3.2.1
  5009 =     2.1.5.4.2.1
  5011 =     2.1.6.0.0.1
  5021 =     2.1.6.1.2.1
  5023 =     2.1.6.2.0.1
  5039 =     2.1.6.4.2.1
  5051 =     2.2.0.1.2.1
  5059 =     2.2.0.3.0.1
  5077 =     2.2.1.1.0.1
  5081 =     2.2.1.1.2.1
  5087 =     2.2.1.2.2.1
  5099 =     2.2.1.4.2.1
  5101 =     2.2.2.0.0.1
  5107 =     2.2.2.1.0.1
  5113 =     2.2.2.2.0.1
  5119 =     2.2.2.3.0.1
  5147 =     2.2.3.2.2.1
  5153 =     2.2.3.3.2.1
  5167 =     2.2.4.1.0.1
  5171 =     2.2.4.1.2.1
  5179 =     2.2.4.3.0.1
  5189 =     2.2.4.4.2.1
  5197 =     2.2.5.1.0.1
  5209 =     2.2.5.3.0.1
  5227 =     2.2.6.1.0.1
  5231 =     2.2.6.1.2.1
  5233 =     2.2.6.2.0.1
  5237 =     2.2.6.2.2.1
  5261 =     2.3.0.1.2.1
  5273 =     2.3.0.3.2.1
  5279 =     2.3.0.4.2.1
  5281 =     2.3.1.0.0.1
  5297 =     2.3.1.2.2.1
  5303 =     2.3.1.3.2.1
  5309 =     2.3.1.4.2.1
  5323 =     2.3.2.2.0.1
  5333 =     2.3.2.3.2.1
  5347 =     2.3.3.1.0.1
  5351 =     2.3.3.1.2.1
  5381 =     2.3.4.1.2.1
  5387 =     2.3.4.2.2.1
  5393 =     2.3.4.3.2.1
  5399 =     2.3.4.4.2.1
  5407 =     2.3.5.1.0.1
  5413 =     2.3.5.2.0.1
  5417 =     2.3.5.2.2.1
  5419 =     2.3.5.3.0.1
  5431 =     2.3.6.0.0.1
  5437 =     2.3.6.1.0.1
  5441 =     2.3.6.1.2.1
  5443 =     2.3.6.2.0.1
  5449 =     2.3.6.3.0.1
  5471 =     2.4.0.1.2.1
  5477 =     2.4.0.2.2.1
  5479 =     2.4.0.3.0.1
  5483 =     2.4.0.3.2.1
  5501 =     2.4.1.1.2.1
  5503 =     2.4.1.2.0.1
  5507 =     2.4.1.2.2.1
  5519 =     2.4.1.4.2.1
  5521 =     2.4.2.0.0.1
  5527 =     2.4.2.1.0.1
  5531 =     2.4.2.1.2.1
  5557 =     2.4.3.1.0.1
  5563 =     2.4.3.2.0.1
  5569 =     2.4.3.3.0.1
  5573 =     2.4.3.3.2.1
  5581 =     2.4.4.0.0.1
  5591 =     2.4.4.1.2.1
  5623 =     2.4.5.2.0.1
  5639 =     2.4.5.4.2.1
  5641 =     2.4.6.0.0.1
  5647 =     2.4.6.1.0.1
  5651 =     2.4.6.1.2.1
  5653 =     2.4.6.2.0.1
  5657 =     2.4.6.2.2.1
  5659 =     2.4.6.3.0.1
  5669 =     2.4.6.4.2.1
  5683 =     2.5.0.2.0.1
  5689 =     2.5.0.3.0.1
  5693 =     2.5.0.3.2.1
  5701 =     2.5.1.0.0.1
  5711 =     2.5.1.1.2.1
  5717 =     2.5.1.2.2.1
  5737 =     2.5.2.1.0.1
  5741 =     2.5.2.1.2.1
  5743 =     2.5.2.2.0.1
  5749 =     2.5.2.3.0.1
  5779 =     2.5.3.3.0.1
  5783 =     2.5.3.3.2.1
  5791 =     2.5.4.0.0.1
  5801 =     2.5.4.1.2.1
  5807 =     2.5.4.2.2.1
  5813 =     2.5.4.3.2.1
  5821 =     2.5.5.0.0.1
  5827 =     2.5.5.1.0.1
  5839 =     2.5.5.3.0.1
  5843 =     2.5.5.3.2.1
  5849 =     2.5.5.4.2.1
  5851 =     2.5.6.0.0.1
  5857 =     2.5.6.1.0.1
  5861 =     2.5.6.1.2.1
  5867 =     2.5.6.2.2.1
  5869 =     2.5.6.3.0.1
  5879 =     2.5.6.4.2.1
  5881 =     2.6.0.0.0.1
  5897 =     2.6.0.2.2.1
  5903 =     2.6.0.3.2.1
  5923 =     2.6.1.2.0.1
  5927 =     2.6.1.2.2.1
  5939 =     2.6.1.4.2.1
  5953 =     2.6.2.2.0.1
  5981 =     2.6.3.1.2.1
  5987 =     2.6.3.2.2.1
  6007 =     2.6.4.1.0.1
  6011 =     2.6.4.1.2.1
  6029 =     2.6.4.4.2.1
  6037 =     2.6.5.1.0.1
  6043 =     2.6.5.2.0.1
  6047 =     2.6.5.2.2.1
  6053 =     2.6.5.3.2.1
  6067 =     2.6.6.1.0.1
  6073 =     2.6.6.2.0.1
  6079 =     2.6.6.3.0.1
  6089 =     2.6.6.4.2.1
  6091 =     2.7.0.0.0.1
  6101 =     2.7.0.1.2.1
  6113 =     2.7.0.3.2.1
  6121 =     2.7.1.0.0.1
  6131 =     2.7.1.1.2.1
  6133 =     2.7.1.2.0.1
  6143 =     2.7.1.3.2.1
  6151 =     2.7.2.0.0.1
  6163 =     2.7.2.2.0.1
  6173 =     2.7.2.3.2.1
  6197 =     2.7.3.2.2.1
  6199 =     2.7.3.3.0.1
  6203 =     2.7.3.3.2.1
  6211 =     2.7.4.0.0.1
  6217 =     2.7.4.1.0.1
  6221 =     2.7.4.1.2.1
  6229 =     2.7.4.3.0.1
  6247 =     2.7.5.1.0.1
  6257 =     2.7.5.2.2.1
  6263 =     2.7.5.3.2.1
  6269 =     2.7.5.4.2.1
  6271 =     2.7.6.0.0.1
  6277 =     2.7.6.1.0.1
  6287 =     2.7.6.2.2.1
  6299 =     2.7.6.4.2.1
  6301 =     2.8.0.0.0.1
  6311 =     2.8.0.1.2.1
  6317 =     2.8.0.2.2.1
  6323 =     2.8.0.3.2.1
  6329 =     2.8.0.4.2.1
  6337 =     2.8.1.1.0.1
  6343 =     2.8.1.2.0.1
  6353 =     2.8.1.3.2.1
  6359 =     2.8.1.4.2.1
  6361 =     2.8.2.0.0.1
  6367 =     2.8.2.1.0.1
  6373 =     2.8.2.2.0.1
